,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
4248,WFL2009-D75-R025,,"DREYER, 2013",WFL2009,45.95,-130.027,1e-06,-1546.0,-1546.0,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.26,13.62,2.14,10.69,3.55,1.37,4.53,0.84,5.54,1.18,3.18,0.46,2.84,0.44
4249,WFL2009-D75-R028,,"DREYER, 2013",WFL2009,45.95,-130.028,1e-06,-1479.9,-1479.9,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.47,12.08,1.94,10.03,3.46,1.31,4.66,0.88,5.82,1.26,3.52,0.5,3.13,0.49
4250,WFL2009-D75-R029,,"DREYER, 2013",WFL2009,45.95,-130.028,1e-06,-1431.3,-1431.3,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.62,12.41,1.99,10.14,3.47,1.33,4.61,0.88,5.72,1.22,3.34,0.48,2.95,0.46
4251,WFL2009-D79-R004,,"DREYER, 2013",WFL2009,45.9462,-129.983,1e-06,-1516.0,-1516.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.86,13.21,2.08,10.73,3.58,1.3,4.3,0.82,5.32,1.18,3.74,0.52,3.21,0.49
4252,WFL2009-D79-R008,,"DREYER, 2013",WFL2009,45.9477,-129.977,1e-06,-1510.0,-1510.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.54,12.7,2.09,10.4,3.1,1.34,4.43,0.85,5.75,1.17,3.75,0.52,3.25,0.47
4253,WFL2009-D79-R010,,"DREYER, 2013",WFL2009,45.9493,-129.977,1e-06,-1512.7,-1512.7,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.41,12.08,1.96,10.16,3.54,1.34,4.67,0.89,5.84,1.25,3.46,0.5,3.03,0.48
4254,WFL2009-D79-R011,,"DREYER, 2013",WFL2009,45.9497,-129.976,1e-06,-1523.0,-1523.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.8,13.28,2.05,10.72,3.53,1.25,4.25,0.81,5.29,1.09,3.24,0.47,2.9,0.47
4255,WFL2009-D79-R013,,"DREYER, 2013",WFL2009,45.9533,-129.976,1e-06,-1521.0,-1521.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.87,13.35,2.11,10.69,3.46,1.3,4.46,0.79,5.17,1.11,3.35,0.46,3.04,0.48
4256,WFL2009-D79-R016,,"DREYER, 2013",WFL2009,45.9558,-129.984,1e-06,-1501.0,-1501.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.64,13.03,2.05,10.31,3.41,1.33,4.39,0.78,5.45,1.13,3.27,0.46,3.0,0.51
4257,WFL2009-D79-R018,,"DREYER, 2013",WFL2009,45.9572,-129.987,1e-06,-1501.0,-1501.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.94,13.25,2.13,10.9,3.49,1.35,4.44,0.79,5.41,1.16,3.48,0.46,3.11,0.52
4258,WFL2009-D79-R020,,"DREYER, 2013",WFL2009,45.96,-129.988,1e-06,-1487.0,-1487.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.88,13.57,2.17,11.2,3.53,1.34,4.7,0.84,5.45,1.24,3.46,0.47,3.12,0.51
4259,WFL2011-D256-R001,,"DREYER, 2013",WFL2011,45.9353,-130.016,1e-05,-1546.0,-1546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.35,12.2,2.0,9.75,3.26,1.21,4.33,0.7,4.85,1.04,3.4,0.47,2.89,0.44
4260,WFL2011-D256-R002,,"DREYER, 2013",WFL2011,45.9346,-130.018,1e-06,-1418.0,-1418.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.24,12.02,1.96,9.6,3.67,1.29,4.02,0.8,5.04,1.12,3.2,0.49,3.06,0.42
4261,WFL2011-D259-R001,,"DREYER, 2013",WFL2011,45.9644,-130.054,1e-06,-1469.0,-1469.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.51,13.27,1.97,11.17,3.44,1.35,3.86,0.79,5.27,1.14,3.14,0.45,3.18,0.42
4262,WFL2011-D259-R002,,"DREYER, 2013",WFL2011,45.9644,-130.054,1e-06,-1470.0,-1470.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.49,13.16,2.11,9.95,3.7,1.27,5.03,0.81,4.83,1.1,3.21,0.52,3.14,0.49
4263,WFL2011-D259-R003,,"DREYER, 2013",WFL2011,45.9622,-130.055,1e-06,-1486.0,-1486.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.39,12.56,1.92,9.98,3.14,1.25,4.63,0.71,4.94,1.09,2.99,0.42,2.89,0.44
4264,WFL2011-D259-R008,,"DREYER, 2013",WFL2011,45.9561,-130.057,1e-06,-1500.0,-1500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.6,13.22,2.16,10.5,3.36,1.23,4.15,0.76,4.98,1.04,2.98,0.53,2.95,0.4
4265,WFL2011-D259-R009,,"DREYER, 2013",WFL2011,45.9534,-130.055,1e-06,-1494.0,-1494.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.63,13.05,2.04,10.39,3.05,1.16,4.08,0.79,5.17,1.06,3.02,0.48,2.9,0.36
4266,WFL2011-D259-R011,,"DREYER, 2013",WFL2011,45.9526,-130.051,1e-06,-1457.0,-1457.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.5,12.87,1.96,9.87,3.22,1.2,3.92,0.78,4.73,1.06,3.0,0.46,2.96,0.4
4267,WFL2011-D259-R013,,"DREYER, 2013",WFL2011,45.9534,-130.044,1e-06,-1442.0,-1442.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.75,12.67,2.02,10.93,3.28,1.23,4.18,0.81,5.23,1.18,3.31,0.48,3.21,0.49
4268,WFL2011-D262-R002,,"DREYER, 2013",WFL2011,45.9623,-129.992,1e-06,-1517.0,-1517.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.66,13.17,2.05,10.9,3.46,1.3,4.27,0.79,5.0,1.14,3.14,0.5,3.26,0.49
4269,WFL2011-D262-R003,,"DREYER, 2013",WFL2011,45.9632,-129.992,1e-05,-1517.2,-1517.2,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.66,12.6,2.09,9.8,3.45,1.31,4.21,0.75,4.64,1.06,3.07,0.44,2.98,0.45
4270,WFL2011-D262-R004,,"DREYER, 2013",WFL2011,45.965,-129.991,1e-06,-1486.0,-1486.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.42,13.08,2.12,10.74,3.53,1.36,4.62,0.76,5.26,1.18,3.31,0.48,3.23,0.48
4271,WFL2011-D262-R005,,"DREYER, 2013",WFL2011,45.9687,-129.99,1e-06,-1486.0,-1486.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.43,12.83,2.03,10.33,3.21,1.41,4.01,0.73,5.03,1.05,3.39,0.42,3.02,0.45
4272,WFL2011-D270-R001,,"DREYER, 2013",WFL2011,45.9498,-129.984,1e-06,-1509.0,-1509.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.82,11.13,1.78,9.61,3.05,1.27,4.57,0.79,4.99,1.08,2.92,0.43,3.03,0.45
4273,WITTGRN-NW-464006,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.82,1.52,0.196,0.729,0.138,0.044,0.134,0.021,0.107,0.025,0.062,0.011,0.065,0.013
4274,WITTGRN-NW-474521,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.68,4.77,0.566,1.91,0.255,0.067,0.172,0.019,0.086,0.014,0.03,0.004,0.024,0.004
4275,WITTGRN-NW-474527,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.78,1.44,0.188,0.706,0.143,0.053,0.181,0.029,0.17,0.032,0.079,0.011,0.063,0.01
4276,WITTGRN-NW-474535,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.72,3.04,0.378,1.41,0.25,0.073,0.206,0.027,0.14,0.027,0.071,0.011,0.076,0.014
4277,WITTGRN-NW-474536,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.3,4.3,0.54,1.94,0.286,0.076,0.194,0.022,0.097,0.015,0.03,0.004,0.023,0.003
4278,WITTGRN-NW-474537,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.442,0.96,0.142,0.629,0.175,0.066,0.23,0.037,0.205,0.035,0.077,0.01,0.061,0.011
4279,WITTGRN-NW-474538,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.99,3.6,0.431,1.47,0.223,0.066,0.188,0.029,0.163,0.032,0.09,0.015,0.101,0.02
4280,WITTGRN-NW-474542,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.801,1.57,0.214,0.817,0.168,0.054,0.175,0.027,0.157,0.035,0.093,0.015,0.094,0.016
4281,WITTGRN-NW-474543,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.48,2.85,0.374,1.35,0.235,0.078,0.253,0.041,0.228,0.042,0.107,0.015,0.09,0.014
4282,WITTGRN-NW-474544,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.3,6.02,0.715,2.46,0.312,0.079,0.196,0.021,0.088,0.014,0.028,0.003,0.018,0.003
4283,WITTGRN-NW-474545,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.88,1.74,0.241,0.995,0.221,0.077,0.236,0.036,0.185,0.031,0.069,0.009,0.058,0.011
4284,WITTGRN-NW-474546,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.466,1.05,0.162,0.682,0.163,0.059,0.19,0.029,0.146,0.024,0.052,0.007,0.039,0.007
4285,WITTGRN-NW-474547,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.98,1.76,0.22,0.785,0.141,0.05,0.168,0.028,0.155,0.029,0.061,0.008,0.04,0.006
4286,WITTGRN-NW-474551,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.47,2.61,0.319,1.14,0.183,0.056,0.156,0.022,0.108,0.019,0.045,0.006,0.04,0.007
4288,WITTGRN-NW-474557,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.84,2.22,0.409,1.96,0.467,0.143,0.412,0.052,0.233,0.036,0.075,0.01,0.046,0.008
4290,WITTGRN-NW-474568,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.726,1.5,0.22,0.912,0.194,0.065,0.193,0.029,0.152,0.028,0.075,0.011,0.067,0.012
4291,WITTGRN-NW-474570,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.52,2.78,0.349,1.23,0.164,0.042,0.098,0.011,0.048,0.008,0.017,0.002,0.014,0.002
4292,WITTGRN-NW-474573,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.15,2.1,0.267,1.05,0.217,0.068,0.194,0.028,0.146,0.028,0.073,0.011,0.083,0.015
4293,WITTGRN-NW-474574,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.52,2.98,0.372,1.33,0.229,0.072,0.203,0.027,0.126,0.022,0.044,0.007,0.038,0.007
4294,WITTGRN-NW-474575,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.12,1.94,0.236,0.856,0.154,0.05,0.163,0.026,0.146,0.03,0.086,0.015,0.112,0.021
4295,WITTGRN-NW-474576,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.36,1.9,0.207,0.706,0.098,0.029,0.079,0.01,0.056,0.01,0.025,0.004,0.023,0.004
4296,WITTGRN-NW-474577,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.68,3.03,0.365,1.31,0.242,0.073,0.198,0.024,0.1,0.017,0.039,0.006,0.038,0.007
4297,WITTGRN-NW-477421,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,7.52,13.65,1.72,6.39,1.175,0.345,0.911,0.112,0.498,0.075,0.147,0.018,0.095,0.015
4298,WITTGRN-NW-483606,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.45,2.4,0.292,1.07,0.198,0.066,0.206,0.031,0.172,0.033,0.086,0.012,0.07,0.012
4299,WITTGRN-NW-488802,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,4.16,7.83,0.985,3.39,0.447,0.118,0.279,0.032,0.137,0.022,0.044,0.006,0.033,0.005
4300,WITTGRN-NW-488836,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,8.59,15.46,1.84,6.22,0.794,0.207,0.458,0.052,0.221,0.035,0.071,0.01,0.049,0.009
4301,WITTGRN-NW-488850,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.68,2.75,0.314,1.05,0.14,0.039,0.097,0.012,0.054,0.009,0.021,0.003,0.018,0.003
4302,WITTGRN-NW-488858,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,4.88,8.2,0.927,2.96,0.372,0.103,0.234,0.027,0.128,0.02,0.044,0.007,0.037,0.007
4303,WITTGRN-NW-488866,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.271,0.543,0.0777,0.316,0.076,0.011,0.071,0.011,0.063,0.014,0.039,0.008,0.058,0.013
4304,WITTGRN-NW-488869,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.12,1.95,0.238,0.842,0.153,0.051,0.16,0.027,0.157,0.032,0.078,0.012,0.068,0.012
4305,WITTGRN-NW-488882,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,4.13,7.38,0.889,2.95,0.388,0.11,0.298,0.039,0.193,0.031,0.067,0.008,0.048,0.008
4306,WITTGRN-NW-488883,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.75,3.08,0.362,1.27,0.158,0.043,0.109,0.012,0.052,0.009,0.019,0.003,0.016,0.002
4307,WITTGRN-NW-488888,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.16,5.62,0.676,2.31,0.307,0.08,0.2,0.024,0.101,0.018,0.041,0.006,0.033,0.005
4308,WITTGRN-NW-488890,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,7.92,13.3,1.58,5.35,0.723,0.185,0.445,0.053,0.243,0.039,0.083,0.013,0.071,0.013
4309,WITTGRN-NW-488892,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.74,3.06,0.36,1.26,0.156,0.043,0.108,0.012,0.052,0.009,0.019,0.003,0.016,0.002
4310,WITTGRN-NW-DYKEA,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.88,3.56,0.445,1.57,0.249,0.078,0.222,0.033,0.185,0.035,0.083,0.013,0.087,0.016
4311,WITTGRN-NW-DYKEB,,"WITTIG, 2008",nr,66.0,-52.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.6,4.79,0.6,2.07,0.306,0.091,0.25,0.034,0.173,0.03,0.071,0.011,0.063,0.011
4312,WITTGRN-SW-G-06-12A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.06,1.9,0.234,0.848,0.134,0.038,0.103,0.013,0.065,0.012,0.028,0.004,0.026,0.005
4313,WITTGRN-SW-G-06-14A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.58,5.87,0.73,2.58,0.408,0.116,0.325,0.041,0.196,0.036,0.078,0.011,0.059,0.009
4314,WITTGRN-SW-G-06-14B,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.9,3.55,0.495,1.94,0.363,0.109,0.299,0.038,0.176,0.03,0.065,0.009,0.048,0.008
4315,WITTGRN-SW-G-06-18A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.11,2.0,0.248,0.902,0.146,0.041,0.114,0.015,0.075,0.013,0.029,0.005,0.024,0.004
4316,WITTGRN-SW-G-06-4A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.07,2.03,0.267,1.02,0.181,0.054,0.139,0.018,0.084,0.014,0.031,0.005,0.027,0.004
4317,WITTGRN-SW-G-06-4B,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.4,2.79,0.368,1.38,0.224,0.064,0.167,0.022,0.096,0.016,0.035,0.005,0.027,0.005
4318,WITTGRN-SW-G-06-4C,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.56,2.86,0.391,1.53,0.287,0.086,0.251,0.032,0.156,0.027,0.06,0.009,0.053,0.009
4319,WITTGRN-SW-G-06-4D,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.39,4.35,0.553,2.05,0.357,0.101,0.291,0.034,0.167,0.029,0.064,0.009,0.048,0.009
4320,WITTGRN-SW-G-06-6A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.81,5.21,0.642,2.32,0.362,0.102,0.283,0.035,0.173,0.029,0.068,0.009,0.056,0.009
4321,WITTGRN-SW-G-06-6B,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.48,4.34,0.543,2.05,0.367,0.107,0.309,0.041,0.196,0.035,0.079,0.011,0.064,0.01
4323,WITTGRN-SW-G-06-7A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.06,4.86,0.607,2.21,0.386,0.117,0.337,0.045,0.218,0.038,0.089,0.012,0.073,0.012
4324,WITTGRN-SW-G-06-7B,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.4,2.89,0.419,1.74,0.362,0.108,0.313,0.039,0.186,0.031,0.07,0.01,0.057,0.009
4325,WITTGRN-SW-G-06-7C,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.55,2.76,0.347,1.3,0.228,0.063,0.182,0.024,0.121,0.022,0.046,0.008,0.045,0.009
4326,WITTGRN-SW-G-06-7D,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.43,0.55,0.0745,0.245,0.036,0.01,0.031,0.004,0.025,0.005,0.015,0.003,0.022,0.005
4327,WITTGRN-SW-G-06-?A,,"WITTIG, 2008",nr,61.0,-48.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.52,0.98,0.145,0.614,0.139,0.045,0.131,0.02,0.105,0.019,0.047,0.007,0.043,0.008
4328,WUFCHIN-KUAN-HY1-01,,"WU, 2006",nr,40.75,124.67,1.0,,,,1670.0,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.22,0.41,0.044,0.2,0.067,0.024,0.078,0.016,0.12,0.028,0.073,0.014,0.098,0.016
4329,WUFCHIN-KUAN-HY2-01,,"WU, 2006",nr,40.75,124.67,1.0,,,,790.0,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.61,1.34,0.15,0.55,0.08,0.021,0.083,0.013,0.089,0.022,0.065,0.013,0.1,0.018
